id,fixed acidity,volatile acidity,citric acid,residual sugar,flavonoids,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,country,quality
267,8.1,0.87,0,3.3,0.741,0.096,26,61,1.00025,3.6,0.72,9.8,Spain,4
268,7.9,0.35,0.46,3.6,0.495,0.078,15,37,0.9973,3.35,0.86,12.8,Italy,8
269,6.9,0.54,0.04,3,0.547,0.077,7,27,0.9987,3.69,0.91,9.4,Italy,6
270,11.5,0.18,0.51,4,0.574,0.104,4,23,0.9996,3.28,0.97,10.1,Italy,6
271,7.9,0.545,0.06,4,0.5985,0.087,27,61,0.9965,3.36,0.67,10.7,Spain,6
272,11.5,0.18,0.51,4,0.574,0.104,4,23,0.9996,3.28,0.97,10.1,Spain,6
273,10.9,0.37,0.58,4,0.466,0.071,17,65,0.99935,3.22,0.78,10.1,Spain,5
274,8.4,0.715,0.2,2.4,0.5945,0.076,10,38,0.99735,3.31,0.64,9.4,Spain,5
275,7.5,0.65,0.18,7,0.635,0.088,27,94,0.99915,3.38,0.77,9.4,UK,5
276,7.9,0.545,0.06,4,0.5985,0.087,27,61,0.9965,3.36,0.67,10.7,Italy,6
277,6.9,0.54,0.04,3,0.547,0.077,7,27,0.9987,3.69,0.91,9.4,Italy,6
278,11.5,0.18,0.51,4,0.574,0.104,4,23,0.9996,3.28,0.97,10.1,Spain,6
279,10.3,0.32,0.45,6.4,0.461,0.073,5,13,0.9976,3.23,0.82,12.6,Italy,8
280,8.9,0.4,0.32,5.6,0.555,0.087,10,47,0.9991,3.38,0.77,10.5,Italy,7
281,11.4,0.26,0.44,3.6,0.433,0.071,6,19,0.9986,3.12,0.82,9.3,Italy,6
282,7.7,0.27,0.68,3.5,1.871,0.358,5,10,0.9972,3.25,1.08,9.9,Italy,7
283,7.6,0.52,0.12,3,0.491,0.067,12,53,0.9971,3.36,0.57,9.1,Italy,5
284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Italy,4
285,8.9,0.4,0.32,5.6,0.555,0.087,10,47,0.9991,3.38,0.77,10.5,Spain,7
286,9.9,0.59,0.07,3.4,0.687,0.102,32,71,1.00015,3.31,0.71,9.8,Spain,5
287,9.9,0.59,0.07,3.4,0.687,0.102,32,71,1.00015,3.31,0.71,9.8,Italy,5
288,12,0.45,0.55,2,0.5,0.073,25,49,0.9997,3.1,0.76,10.3,Spain,6
289,7.5,0.4,0.12,3,0.58,0.092,29,53,0.9967,3.37,0.7,10.3,UK,6
290,8.7,0.52,0.09,2.5,0.611,0.091,20,49,0.9976,3.34,0.86,10.6,Spain,7
291,11.6,0.42,0.53,3.3,0.651,0.105,33,98,1.001,3.2,0.95,9.2,Italy,5
292,8.7,0.52,0.09,2.5,0.611,0.091,20,49,0.9976,3.34,0.86,10.6,Spain,7
293,11,0.2,0.48,2,1.775,0.343,6,18,0.9979,3.3,0.71,10.5,Italy,5
294,10.4,0.55,0.23,2.7,0.62,0.091,18,48,0.9994,3.22,0.64,10.3,Spain,6
295,6.9,0.36,0.25,2.4,0.598,0.098,5,16,0.9964,3.41,0.6,10.1,Italy,6
296,13.3,0.34,0.52,3.2,0.572,0.094,17,53,1.0014,3.05,0.81,9.5,Italy,6
297,10.8,0.5,0.46,2.5,0.515,0.073,5,27,1.0001,3.05,0.64,9.5,UK,5
298,10.6,0.83,0.37,2.6,0.679,0.086,26,70,0.9981,3.16,0.52,9.9,Italy,5
299,7.1,0.63,0.06,2,0.604,0.083,8,29,0.99855,3.67,0.73,9.6,Italy,5
300,7.2,0.65,0.02,2.3,0.665,0.094,5,31,0.9993,3.67,0.8,9.7,Spain,5
301,6.9,0.67,0.06,2.1,0.601,0.08,8,33,0.99845,3.68,0.71,9.6,Spain,5
302,7.5,0.53,0.06,2.6,0.589,0.086,20,44,0.9965,3.38,0.59,10.7,UK,6
303,11.1,0.18,0.48,1.5,0.394,0.068,7,15,0.9973,3.22,0.64,10.1,UK,6
304,8.3,0.705,0.12,2.6,0.6715,0.092,12,28,0.9994,3.51,0.72,10,Spain,5
305,7.4,0.67,0.12,1.6,1.131,0.186,5,21,0.996,3.39,0.54,9.5,UK,5
306,8.4,0.65,0.6,2.1,0.755,0.112,12,90,0.9973,3.2,0.52,9.2,Italy,5
307,10.3,0.53,0.48,2.5,0.474,0.063,6,25,0.9998,3.12,0.59,9.3,Spain,6
308,7.6,0.62,0.32,2.2,0.596,0.082,7,54,0.9966,3.36,0.52,9.4,Spain,5
309,10.3,0.41,0.42,2.4,1.188,0.213,6,14,0.9994,3.19,0.62,9.5,Italy,6
310,10.3,0.43,0.44,2.4,1.199,0.214,5,12,0.9994,3.19,0.63,9.5,Italy,6
311,7.4,0.29,0.38,1.7,0.397,0.062,9,30,0.9968,3.41,0.53,9.5,Spain,6
312,10.3,0.53,0.48,2.5,0.474,0.063,6,25,0.9998,3.12,0.59,9.3,Italy,6
313,7.9,0.53,0.24,2,0.519,0.072,15,105,0.996,3.27,0.54,9.4,Spain,6
314,9,0.46,0.31,2.8,0.603,0.093,19,98,0.99815,3.32,0.63,9.5,Italy,6
315,8.6,0.47,0.3,3,0.521,0.076,30,135,0.9976,3.3,0.53,9.4,Spain,5
316,7.4,0.36,0.29,2.6,0.543,0.087,26,72,0.99645,3.39,0.68,11,Italy,5
317,7.1,0.35,0.29,2.5,0.585,0.096,20,53,0.9962,3.42,0.65,11,Spain,6
318,9.6,0.56,0.23,3.4,0.678,0.102,37,92,0.9996,3.3,0.65,10.1,Spain,5
319,9.6,0.77,0.12,2.9,0.641,0.082,30,74,0.99865,3.3,0.64,10.4,Italy,6
320,9.8,0.66,0.39,3.2,0.613,0.083,21,59,0.9989,3.37,0.71,11.5,Spain,7
321,9.6,0.77,0.12,2.9,0.641,0.082,30,74,0.99865,3.3,0.64,10.4,Italy,6
322,9.8,0.66,0.39,3.2,0.613,0.083,21,59,0.9989,3.37,0.71,11.5,Italy,7
323,9.3,0.61,0.26,3.4,0.633,0.09,25,87,0.99975,3.24,0.62,9.7,Italy,5
324,7.8,0.62,0.05,2.3,0.581,0.079,6,18,0.99735,3.29,0.63,9.3,Italy,5
325,10.3,0.59,0.42,2.8,0.627,0.09,35,73,0.999,3.28,0.7,9.5,Italy,6
326,10,0.49,0.2,11,0.502,0.071,13,50,1.0015,3.16,0.69,9.2,Italy,6
327,10,0.49,0.2,11,0.502,0.071,13,50,1.0015,3.16,0.69,9.2,Italy,6
328,11.6,0.53,0.66,3.65,0.764,0.121,6,14,0.9978,3.05,0.74,11.5,UK,7
329,10.3,0.44,0.5,4.5,0.667,0.107,5,13,0.998,3.28,0.83,11.5,Spain,5
330,13.4,0.27,0.62,2.6,0.491,0.082,6,21,1.0002,3.16,0.67,9.7,Spain,6
331,10.7,0.46,0.39,2,0.443,0.061,7,15,0.9981,3.18,0.62,9.5,Italy,5
332,10.2,0.36,0.64,2.9,0.718,0.122,10,41,0.998,3.23,0.66,12.5,UK,6
333,10.2,0.36,0.64,2.9,0.718,0.122,10,41,0.998,3.23,0.66,12.5,Italy,6
334,8,0.58,0.28,3.2,0.504,0.066,21,114,0.9973,3.22,0.54,9.4,Spain,6
335,8.4,0.56,0.08,2.1,0.693,0.105,16,44,0.9958,3.13,0.52,11,Italy,5
336,7.9,0.65,0.01,2.5,0.585,0.078,17,38,0.9963,3.34,0.74,11.7,Spain,7
337,11.9,0.695,0.53,3.4,0.8485,0.128,7,21,0.9992,3.17,0.84,12.2,Italy,7
338,8.9,0.43,0.45,1.9,0.389,0.052,6,16,0.9948,3.35,0.7,12.5,Spain,6
339,7.8,0.43,0.32,2.8,0.529,0.08,29,58,0.9974,3.31,0.64,10.3,Spain,5
340,12.4,0.49,0.58,3,0.662,0.103,28,99,1.0008,3.16,1,11.5,Spain,6
341,12.5,0.28,0.54,2.3,0.494,0.082,12,29,0.9997,3.11,1.36,9.8,Spain,7
342,12.2,0.34,0.5,2.4,0.432,0.066,10,21,1,3.12,1.18,9.2,Italy,6
343,10.6,0.42,0.48,2.7,0.451,0.065,5,18,0.9972,3.21,0.87,11.3,UK,6
344,10.9,0.39,0.47,1.8,0.707,0.118,6,14,0.9982,3.3,0.75,9.8,Spain,6
345,10.9,0.39,0.47,1.8,0.707,0.118,6,14,0.9982,3.3,0.75,9.8,Spain,6
346,11.9,0.57,0.5,2.6,0.581,0.082,6,32,1.0006,3.12,0.78,10.7,Italy,6
347,7,0.685,0,1.9,0.5405,0.067,40,63,0.9979,3.6,0.81,9.9,Spain,5
348,6.6,0.815,0.02,2.7,0.6045,0.072,17,34,0.9955,3.58,0.89,12.3,Italy,7
349,13.8,0.49,0.67,3,0.612,0.093,6,15,0.9986,3.02,0.93,12,Italy,6
350,9.6,0.56,0.31,2.8,0.613,0.089,15,46,0.9979,3.11,0.92,10,UK,6
351,9.1,0.785,0,2.6,0.7005,0.093,11,28,0.9994,3.36,0.86,9.4,Italy,6
352,10.7,0.67,0.22,2.7,0.736,0.107,17,34,1.0004,3.28,0.98,9.9,Italy,6
353,9.1,0.795,0,2.6,0.7185,0.096,11,26,0.9994,3.35,0.83,9.4,Italy,6
354,7.7,0.665,0,2.4,0.6495,0.09,8,19,0.9974,3.27,0.73,9.3,Spain,5
355,13.5,0.53,0.79,4.8,0.759,0.12,23,77,1.0018,3.18,0.77,13,Italy,5
356,6.1,0.21,0.4,1.4,0.393,0.066,40.5,165,0.9912,3.25,0.59,11.9,Spain,6
357,6.7,0.75,0.01,2.4,0.615,0.078,17,32,0.9955,3.55,0.61,12.8,Italy,6
358,11.5,0.41,0.52,3,0.523,0.08,29,55,1.0001,3.26,0.88,11,Spain,5
359,10.5,0.42,0.66,2.95,0.706,0.116,12,29,0.997,3.24,0.75,11.7,Spain,7
360,11.9,0.43,0.66,3.1,0.674,0.109,10,23,1,3.15,0.85,10.4,Italy,7
361,12.6,0.38,0.66,2.6,0.554,0.088,10,41,1.001,3.17,0.68,9.8,Italy,6
362,8.2,0.7,0.23,2,0.705,0.099,14,81,0.9973,3.19,0.7,9.4,UK,5
363,8.6,0.45,0.31,2.6,0.565,0.086,21,50,0.9982,3.37,0.91,9.9,Italy,6
364,11.9,0.58,0.66,2.5,0.534,0.072,6,37,0.9992,3.05,0.56,10,Spain,5
365,12.5,0.46,0.63,2,0.493,0.071,6,15,0.9988,2.99,0.87,10.2,Italy,5
366,12.8,0.615,0.66,5.8,0.5995,0.083,7,42,1.0022,3.07,0.73,10,UK,7
367,10,0.42,0.5,3.4,0.661,0.107,7,21,0.9979,3.26,0.93,11.8,Spain,6
368,12.8,0.615,0.66,5.8,0.5995,0.083,7,42,1.0022,3.07,0.73,10,Spain,7
369,10.4,0.575,0.61,2.6,0.5525,0.076,11,24,1,3.16,0.69,9,Spain,5
370,10.3,0.34,0.52,2.8,0.897,0.159,15,75,0.9998,3.18,0.64,9.4,Spain,5
371,9.4,0.27,0.53,2.4,0.451,0.074,6,18,0.9962,3.2,1.13,12,Spain,7
372,6.9,0.765,0.02,2.3,0.5445,0.063,35,63,0.9975,3.57,0.78,9.9,UK,5
373,7.9,0.24,0.4,1.6,0.352,0.056,11,25,0.9967,3.32,0.87,8.7,Italy,6
374,9.1,0.28,0.48,1.8,0.419,0.067,26,46,0.9967,3.32,1.04,10.6,UK,6
375,7.4,0.55,0.22,2.2,0.695,0.106,12,72,0.9959,3.05,0.63,9.2,Spain,5
376,14,0.41,0.63,3.8,0.568,0.089,6,47,1.0014,3.01,0.81,10.8,Italy,6
377,11.5,0.54,0.71,4.4,0.782,0.124,6,15,0.9984,3.01,0.83,11.8,Spain,7
378,11.5,0.45,0.5,3,0.525,0.078,19,47,1.0003,3.26,1.11,11,Italy,6
379,9.4,0.27,0.53,2.4,0.451,0.074,6,18,0.9962,3.2,1.13,12,Spain,7
380,11.4,0.625,0.66,6.2,0.6275,0.088,6,24,0.9988,3.11,0.99,13.3,Spain,6
381,8.3,0.42,0.38,2.5,0.596,0.094,24,60,0.9979,3.31,0.7,10.8,Italy,6
382,8.3,0.26,0.42,2,0.478,0.08,11,27,0.9974,3.21,0.8,9.4,Italy,6
383,13.7,0.415,0.68,2.9,0.5495,0.085,17,43,1.0014,3.06,0.8,10,Italy,6
384,8.3,0.26,0.42,2,0.478,0.08,11,27,0.9974,3.21,0.8,9.4,Italy,6
385,8.3,0.26,0.42,2,0.478,0.08,11,27,0.9974,3.21,0.8,9.4,Spain,6
386,7.7,0.51,0.28,2.1,0.588,0.087,23,54,0.998,3.42,0.74,9.2,Spain,5
387,7.4,0.63,0.07,2.4,0.639,0.09,11,37,0.9979,3.43,0.76,9.7,Spain,6
388,7.8,0.54,0.26,2,0.602,0.088,23,48,0.9981,3.41,0.74,9.2,Spain,6
389,8.3,0.66,0.15,1.9,0.593,0.079,17,42,0.9972,3.31,0.54,9.6,Italy,6
390,7.8,0.46,0.26,1.9,0.578,0.088,23,53,0.9981,3.43,0.74,9.2,Italy,6
391,9.6,0.38,0.31,2.5,0.594,0.096,16,49,0.9982,3.19,0.7,10,Italy,7
392,5.6,0.85,0.05,1.4,0.48,0.045,12,88,0.9924,3.56,0.82,12.9,Spain,8
393,13.7,0.415,0.68,2.9,0.5495,0.085,17,43,1.0014,3.06,0.8,10,Italy,6
394,9.5,0.37,0.52,2,0.521,0.082,6,26,0.998,3.18,0.51,9.5,UK,5
395,8.4,0.665,0.61,2,0.7595,0.112,13,95,0.997,3.16,0.54,9.1,Italy,5
396,12.7,0.6,0.65,2.3,0.495,0.063,6,25,0.9997,3.03,0.57,9.9,Spain,5
397,12,0.37,0.76,4.2,0.441,0.066,7,38,1.0004,3.22,0.6,13,Spain,7
398,6.6,0.735,0.02,7.9,0.8305,0.122,68,124,0.9994,3.47,0.53,9.9,Italy,5
399,11.5,0.59,0.59,2.6,0.612,0.087,13,49,0.9988,3.18,0.65,11,Italy,6
400,11.5,0.59,0.59,2.6,0.612,0.087,13,49,0.9988,3.18,0.65,11,Italy,6
401,8.7,0.765,0.22,2.3,0.5495,0.064,9,42,0.9963,3.1,0.55,9.4,Spain,5
402,6.6,0.735,0.02,7.9,0.8305,0.122,68,124,0.9994,3.47,0.53,9.9,Spain,5
403,7.7,0.26,0.3,1.7,0.373,0.059,20,38,0.9949,3.29,0.47,10.8,Italy,6
404,12.2,0.48,0.54,2.6,0.569,0.085,19,64,1,3.1,0.61,10.5,UK,6
405,11.4,0.6,0.49,2.7,0.605,0.085,10,41,0.9994,3.15,0.63,10.5,Spain,6
406,7.7,0.69,0.05,2.7,0.582,0.075,15,27,0.9974,3.26,0.61,9.1,Italy,5
407,8.7,0.31,0.46,1.4,0.388,0.059,11,25,0.9966,3.36,0.76,10.1,Italy,6
408,9.8,0.44,0.47,2.5,0.447,0.063,9,28,0.9981,3.24,0.65,10.8,Spain,6
409,12,0.39,0.66,3,0.582,0.093,12,30,0.9996,3.18,0.63,10.8,Spain,7
410,10.4,0.34,0.58,3.7,0.972,0.174,6,16,0.997,3.19,0.7,11.3,UK,6
411,12.5,0.46,0.49,4.5,0.488,0.07,26,49,0.9981,3.05,0.57,9.6,Italy,4
412,9,0.43,0.34,2.5,0.529,0.08,26,86,0.9987,3.38,0.62,9.5,Spain,6
413,9.1,0.45,0.35,2.4,0.535,0.08,23,78,0.9987,3.38,0.62,9.5,Spain,5
414,7.1,0.735,0.16,1.9,0.7205,0.1,15,77,0.9966,3.27,0.64,9.3,Italy,5
415,9.9,0.4,0.53,6.7,0.605,0.097,6,19,0.9986,3.27,0.82,11.7,Spain,7
416,8.8,0.52,0.34,2.7,0.591,0.087,24,122,0.9982,3.26,0.61,9.5,Italy,5
417,8.6,0.725,0.24,6.6,0.8025,0.117,31,134,1.0014,3.32,1.07,9.3,Italy,5
418,10.6,0.48,0.64,2.2,0.699,0.111,6,20,0.997,3.26,0.66,11.7,Spain,6
419,7,0.58,0.12,1.9,0.629,0.091,34,124,0.9956,3.44,0.48,10.5,UK,5
420,11.9,0.38,0.51,2,0.719,0.121,7,20,0.9996,3.24,0.76,10.4,Italy,6
421,6.8,0.77,0,1.8,0.561,0.066,34,52,0.9976,3.62,0.68,9.9,Spain,5
422,9.5,0.56,0.33,2.4,0.613,0.089,35,67,0.9972,3.28,0.73,11.8,Spain,7
423,6.6,0.84,0.03,2.3,0.547,0.059,32,48,0.9952,3.52,0.56,12.3,Spain,7
424,7.7,0.96,0.2,2,0.523,0.047,15,60,0.9955,3.36,0.44,10.9,Spain,5
425,10.5,0.24,0.47,2.1,0.402,0.066,6,24,0.9978,3.15,0.9,11,Italy,7
426,7.7,0.96,0.2,2,0.523,0.047,15,60,0.9955,3.36,0.44,10.9,Italy,5
427,6.6,0.84,0.03,2.3,0.547,0.059,32,48,0.9952,3.52,0.56,12.3,Spain,7
428,6.4,0.67,0.08,2.1,0.426,0.045,19,48,0.9949,3.49,0.49,11.4,Italy,6
429,9.5,0.78,0.22,1.9,0.619,0.077,6,32,0.9988,3.26,0.56,10.6,Spain,6
430,9.1,0.52,0.33,1.3,0.506,0.07,9,30,0.9978,3.24,0.6,9.3,Spain,5
431,12.8,0.84,0.63,2.4,0.692,0.088,13,35,0.9997,3.1,0.6,10.4,Spain,6
432,10.5,0.24,0.47,2.1,0.402,0.066,6,24,0.9978,3.15,0.9,11,Spain,7
433,7.8,0.55,0.35,2.2,0.535,0.074,21,66,0.9974,3.25,0.56,9.2,Italy,5
434,11.9,0.37,0.69,2.3,0.501,0.078,12,24,0.9958,3,0.65,12.8,Italy,6
435,12.3,0.39,0.63,2.3,0.572,0.091,6,18,1.0004,3.16,0.49,9.5,UK,5
436,10.4,0.41,0.55,3.2,0.503,0.076,22,54,0.9996,3.15,0.89,9.9,Italy,6
437,12.3,0.39,0.63,2.3,0.572,0.091,6,18,1.0004,3.16,0.49,9.5,Italy,5
438,8,0.67,0.3,2,0.501,0.06,38,62,0.9958,3.26,0.56,10.2,Italy,6
439,11.1,0.45,0.73,3.2,0.465,0.066,6,22,0.9986,3.17,0.66,11.2,Italy,6
440,10.4,0.41,0.55,3.2,0.503,0.076,22,54,0.9996,3.15,0.89,9.9,Italy,6
441,7,0.62,0.18,1.5,0.496,0.062,7,50,0.9951,3.08,0.6,9.3,UK,5
442,12.6,0.31,0.72,2.2,0.453,0.072,6,29,0.9987,2.88,0.82,9.8,Italy,8
443,11.9,0.4,0.65,2.15,0.46,0.068,7,27,0.9988,3.06,0.68,11.3,UK,6
444,15.6,0.685,0.76,3.7,0.7055,0.1,6,43,1.0032,2.95,0.68,11.2,Italy,7
445,10,0.44,0.49,2.7,0.517,0.077,11,19,0.9963,3.23,0.63,11.6,Italy,7
446,5.3,0.57,0.01,1.7,0.441,0.054,5,27,0.9934,3.57,0.84,12.5,UK,7
447,9.5,0.735,0.1,2.1,0.6155,0.079,6,31,0.9986,3.23,0.56,10.1,Italy,6
448,12.5,0.38,0.6,2.6,0.519,0.081,31,72,0.9996,3.1,0.73,10.5,Italy,5
449,9.3,0.48,0.29,2.1,0.779,0.127,6,16,0.9968,3.22,0.72,11.2,Spain,5
450,8.6,0.53,0.22,2,0.659,0.1,7,27,0.9967,3.2,0.56,10.2,Italy,6
451,11.9,0.39,0.69,2.8,0.592,0.095,17,35,0.9994,3.1,0.61,10.8,Spain,6
452,11.9,0.39,0.69,2.8,0.592,0.095,17,35,0.9994,3.1,0.61,10.8,Italy,6
453,8.4,0.37,0.53,1.8,2.176,0.413,9,26,0.9979,3.06,1.06,9.1,Spain,6
454,6.8,0.56,0.03,1.7,0.588,0.084,18,35,0.9968,3.44,0.63,10,Italy,6
455,10.4,0.33,0.63,2.8,0.519,0.084,5,22,0.9998,3.26,0.74,11.2,Spain,7
456,7,0.23,0.4,1.6,0.384,0.063,21,67,0.9952,3.5,0.63,11.1,Spain,5
457,11.3,0.62,0.67,5.2,0.616,0.086,6,19,0.9988,3.22,0.69,13.4,Spain,8
458,8.9,0.59,0.39,2.3,0.652,0.095,5,22,0.9986,3.37,0.58,10.3,Spain,5
459,9.2,0.63,0.21,2.7,0.674,0.097,29,65,0.9988,3.28,0.58,9.6,Italy,5
460,10.4,0.33,0.63,2.8,0.519,0.084,5,22,0.9998,3.26,0.74,11.2,Spain,7
461,11.6,0.58,0.66,2.2,0.544,0.074,10,47,1.0008,3.25,0.57,9,UK,3
462,9.2,0.43,0.52,2.3,0.544,0.083,14,23,0.9976,3.35,0.61,11.3,Italy,6
463,8.3,0.615,0.22,2.6,0.6195,0.087,6,19,0.9982,3.26,0.61,9.3,Italy,5
464,11,0.26,0.68,2.55,0.503,0.085,10,25,0.997,3.18,0.61,11.8,Italy,5
465,8.1,0.66,0.7,2.2,0.688,0.098,25,129,0.9972,3.08,0.53,9,Spain,5
466,11.5,0.315,0.54,2.1,0.5145,0.084,5,15,0.9987,2.98,0.7,9.2,Italy,6
467,10,0.29,0.4,2.9,0.577,0.098,10,26,1.0006,3.48,0.91,9.7,Italy,5
468,10.3,0.5,0.42,2,0.495,0.069,21,51,0.9982,3.16,0.72,11.5,Spain,6
469,8.8,0.46,0.45,2.6,0.463,0.065,7,18,0.9947,3.32,0.79,14,Italy,6
470,11.4,0.36,0.69,2.1,0.558,0.09,6,21,1,3.17,0.62,9.2,Italy,6
471,8.7,0.82,0.02,1.2,0.596,0.07,36,48,0.9952,3.2,0.58,9.8,UK,5
472,13,0.32,0.65,2.6,0.561,0.093,15,47,0.9996,3.05,0.61,10.6,Spain,5
473,9.6,0.54,0.42,2.4,0.567,0.081,25,52,0.997,3.2,0.71,11.4,Spain,6
474,12.5,0.37,0.55,2.6,0.526,0.083,25,68,0.9995,3.15,0.82,10.4,Spain,6
475,9.9,0.35,0.55,2.1,0.415,0.062,5,14,0.9971,3.26,0.79,10.6,Italy,5
476,10.5,0.28,0.51,1.7,0.484,0.08,10,24,0.9982,3.2,0.89,9.4,Spain,6
477,9.6,0.68,0.24,2.2,0.639,0.087,5,28,0.9988,3.14,0.6,10.2,Spain,5
478,9.3,0.27,0.41,2,0.536,0.091,6,16,0.998,3.28,0.7,9.7,UK,5
479,10.4,0.24,0.49,1.8,0.447,0.075,6,20,0.9977,3.18,1.06,11,Spain,6
480,9.6,0.68,0.24,2.2,0.639,0.087,5,28,0.9988,3.14,0.6,10.2,Spain,5
481,9.4,0.685,0.11,2.7,0.5905,0.077,6,31,0.9984,3.19,0.7,10.1,Spain,6
482,10.6,0.28,0.39,15.5,0.429,0.069,6,23,1.0026,3.12,0.66,9.2,UK,5
483,9.4,0.3,0.56,2.8,0.49,0.08,6,17,0.9964,3.15,0.92,11.7,Spain,8
484,10.6,0.36,0.59,2.2,0.868,0.152,6,18,0.9986,3.04,1.05,9.4,UK,5
485,10.6,0.36,0.6,2.2,0.868,0.152,7,18,0.9986,3.04,1.06,9.4,Spain,5
486,10.6,0.44,0.68,4.1,0.702,0.114,6,24,0.997,3.06,0.66,13.4,Spain,6
487,10.2,0.67,0.39,1.9,0.471,0.054,6,17,0.9976,3.17,0.47,10,UK,5
488,10.2,0.67,0.39,1.9,0.471,0.054,6,17,0.9976,3.17,0.47,10,Spain,5
489,10.2,0.645,0.36,1.8,0.4585,0.053,5,14,0.9982,3.17,0.42,10,UK,6
490,11.6,0.32,0.55,2.8,0.501,0.081,35,67,1.0002,3.32,0.92,10.8,Italy,7
491,9.3,0.39,0.4,2.6,0.482,0.073,10,26,0.9984,3.34,0.75,10.2,Italy,6
492,9.3,0.775,0.27,2.8,0.6225,0.078,24,56,0.9984,3.31,0.67,10.6,Spain,6
493,9.2,0.41,0.5,2.5,0.398,0.055,12,25,0.9952,3.34,0.79,13.3,Italy,7
494,8.9,0.4,0.51,2.6,0.38,0.052,13,27,0.995,3.32,0.9,13.4,Spain,7
495,8.7,0.69,0.31,3,0.637,0.086,23,81,1.0002,3.48,0.74,11.6,Italy,6
496,6.5,0.39,0.23,8.3,0.372,0.051,28,91,0.9952,3.44,0.55,12.1,Italy,6
497,10.7,0.35,0.53,2.6,0.455,0.07,5,16,0.9972,3.15,0.65,11,Italy,8
498,7.8,0.52,0.25,1.9,0.561,0.081,14,38,0.9984,3.43,0.65,9,UK,6
499,7.2,0.34,0.32,2.5,0.552,0.09,43,113,0.9966,3.32,0.79,11.1,Spain,5
500,10.7,0.35,0.53,2.6,0.455,0.07,5,16,0.9972,3.15,0.65,11,Spain,8
501,8.7,0.69,0.31,3,0.637,0.086,23,81,1.0002,3.48,0.74,11.6,UK,6
502,7.8,0.52,0.25,1.9,0.561,0.081,14,38,0.9984,3.43,0.65,9,UK,6
503,10.4,0.44,0.73,6.55,0.502,0.074,38,76,0.999,3.17,0.85,12,UK,7
504,10.4,0.44,0.73,6.55,0.502,0.074,38,76,0.999,3.17,0.85,12,Italy,7
505,10.5,0.26,0.47,1.9,0.468,0.078,6,24,0.9976,3.18,1.04,10.9,Italy,7
506,10.5,0.24,0.42,1.8,0.457,0.077,6,22,0.9976,3.21,1.05,10.8,UK,7
507,10.2,0.49,0.63,2.9,0.507,0.072,10,26,0.9968,3.16,0.78,12.5,Italy,7
508,10.4,0.24,0.46,1.8,0.447,0.075,6,21,0.9976,3.25,1.02,10.8,Spain,7
509,11.2,0.67,0.55,2.3,0.621,0.084,6,13,1,3.17,0.71,9.5,Spain,6
510,10,0.59,0.31,2.2,0.627,0.09,26,62,0.9994,3.18,0.63,10.2,UK,6
511,13.3,0.29,0.75,2.8,0.507,0.084,23,43,0.9986,3.04,0.68,11.4,Spain,7
512,12.4,0.42,0.49,4.6,0.491,0.073,19,43,0.9978,3.02,0.61,9.5,UK,5
513,10,0.59,0.31,2.2,0.627,0.09,26,62,0.9994,3.18,0.63,10.2,UK,6
514,10.7,0.4,0.48,2.1,0.745,0.125,15,49,0.998,3.03,0.81,9.7,Italy,6
515,10.5,0.51,0.64,2.4,0.688,0.107,6,15,0.9973,3.09,0.66,11.8,Italy,7
516,10.5,0.51,0.64,2.4,0.688,0.107,6,15,0.9973,3.09,0.66,11.8,Spain,7
517,8.5,0.655,0.49,6.1,0.8065,0.122,34,151,1.001,3.31,1.14,9.3,Italy,5
518,12.5,0.6,0.49,4.3,0.68,0.1,5,14,1.001,3.25,0.74,11.9,UK,6
519,10.4,0.61,0.49,2.1,1.183,0.2,5,16,0.9994,3.16,0.63,8.4,Spain,3
520,10.9,0.21,0.49,2.8,0.503,0.088,11,32,0.9972,3.22,0.68,11.7,Italy,6
521,7.3,0.365,0.49,2.5,0.5495,0.088,39,106,0.9966,3.36,0.78,11,Spain,5
522,9.8,0.25,0.49,2.7,0.515,0.088,15,33,0.9982,3.42,0.9,10,Italy,6
523,7.6,0.41,0.49,2,0.563,0.088,16,43,0.998,3.48,0.64,9.1,Italy,5
524,8.2,0.39,0.49,2.3,0.612,0.099,47,133,0.9979,3.38,0.99,9.8,Spain,5
525,9.3,0.4,0.49,2.5,0.545,0.085,38,142,0.9978,3.22,0.55,9.4,Spain,5
526,9.2,0.43,0.49,2.4,0.559,0.086,23,116,0.9976,3.23,0.64,9.5,UK,5
527,10.4,0.64,0.24,2.8,0.717,0.105,29,53,0.9998,3.24,0.67,9.9,Italy,5
528,7.3,0.365,0.49,2.5,0.5495,0.088,39,106,0.9966,3.36,0.78,11,Spain,5
529,7,0.38,0.49,2.5,0.599,0.097,33,85,0.9962,3.39,0.77,11.4,UK,6
530,8.2,0.42,0.49,2.6,0.546,0.084,32,55,0.9988,3.34,0.75,8.7,Italy,6
531,9.9,0.63,0.24,2.4,0.574,0.077,6,33,0.9974,3.09,0.57,9.4,Spain,5
532,9.1,0.22,0.24,2.1,0.456,0.078,1,28,0.999,3.41,0.87,10.3,Spain,6
533,11.9,0.38,0.49,2.7,0.604,0.098,12,42,1.0004,3.16,0.61,10.3,Spain,5
534,11.9,0.38,0.49,2.7,0.604,0.098,12,42,1.0004,3.16,0.61,10.3,Spain,5
